"Date","Price","Open","High","Low","Change %"
"May 03, 2017","1.7981","1.8030","1.8048","1.7966","-0.29%"
"May 02, 2017","1.8033","1.8003","1.8054","1.7937","0.17%"
"May 01, 2017","1.8002","1.8087","1.8096","1.7985","-0.50%"
"Apr 28, 2017","1.8092","1.8029","1.8126","1.8002","0.37%"
"Apr 27, 2017","1.8026","1.7936","1.8051","1.7915","0.51%"
"Apr 26, 2017","1.7934","1.7899","1.7981","1.7848","0.20%"
"Apr 25, 2017","1.7899","1.7825","1.7904","1.7795","0.46%"
"Apr 24, 2017","1.7817","1.7910","1.7915","1.7780","-0.46%"
"Apr 21, 2017","1.7899","1.7906","1.7930","1.7829","-0.07%"
"Apr 20, 2017","1.7912","1.7872","1.7945","1.7856","0.22%"
"Apr 19, 2017","1.7873","1.7920","1.7976","1.7853","-0.26%"
"Apr 18, 2017","1.7920","1.7564","1.8019","1.7510","2.01%"
"Apr 17, 2017","1.7567","1.7507","1.7589","1.7470","0.35%"
"Apr 14, 2017","1.7506","1.7485","1.7528","1.7468","0.14%"
"Apr 13, 2017","1.7482","1.7492","1.7563","1.7473","-0.07%"
"Apr 12, 2017","1.7494","1.7532","1.7547","1.7478","-0.23%"
"Apr 11, 2017","1.7535","1.7447","1.7544","1.7425","0.51%"
"Apr 10, 2017","1.7446","1.7386","1.7466","1.7378","0.36%"
"Apr 07, 2017","1.7383","1.7488","1.7504","1.7364","-0.61%"
"Apr 06, 2017","1.7490","1.7494","1.7534","1.7445","0.01%"
"Apr 05, 2017","1.7489","1.7402","1.7521","1.7376","0.54%"
"Apr 04, 2017","1.7395","1.7447","1.7465","1.7351","-0.30%"
"Apr 03, 2017","1.7448","1.7532","1.7559","1.7410","-0.54%"
"Mar 31, 2017","1.7543","1.7433","1.7562","1.7377","0.62%"
"Mar 30, 2017","1.7435","1.7334","1.7462","1.7302","0.57%"
"Mar 29, 2017","1.7337","1.7408","1.7426","1.7303","-0.40%"
"Mar 28, 2017","1.7406","1.7499","1.7570","1.7372","-0.56%"
"Mar 27, 2017","1.7504","1.7471","1.7564","1.7432","0.33%"
"Mar 24, 2017","1.7447","1.7519","1.7527","1.7434","-0.43%"
"Mar 23, 2017","1.7522","1.7455","1.7550","1.7439","0.40%"
"Mar 22, 2017","1.7453","1.7465","1.7511","1.7374","-0.06%"
"Mar 21, 2017","1.7463","1.7262","1.7493","1.7251","1.17%"
"Mar 20, 2017","1.7261","1.7389","1.7389","1.7237","-0.67%"
"Mar 17, 2017","1.7377","1.7314","1.7387","1.7291","0.33%"
"Mar 16, 2017","1.7320","1.7225","1.7353","1.7183","0.55%"
"Mar 15, 2017","1.7225","1.7203","1.7315","1.7183","0.12%"
"Mar 14, 2017","1.7205","1.7280","1.7295","1.7134","-0.44%"
"Mar 13, 2017","1.7281","1.7174","1.7312","1.7161","0.54%"
"Mar 10, 2017","1.7188","1.7289","1.7298","1.7167","-0.55%"
"Mar 09, 2017","1.7283","1.7256","1.7312","1.7232","0.13%"
"Mar 08, 2017","1.7260","1.7215","1.7265","1.7173","0.26%"
"Mar 07, 2017","1.7216","1.7275","1.7302","1.7177","-0.38%"
"Mar 06, 2017","1.7281","1.7336","1.7352","1.7253","-0.31%"
"Mar 03, 2017","1.7335","1.7333","1.7377","1.7272","0.03%"
"Mar 02, 2017","1.7329","1.7323","1.7371","1.7286","0.03%"
"Mar 01, 2017","1.7324","1.7375","1.7459","1.7297","-0.29%"
"Feb 28, 2017","1.7375","1.7473","1.7494","1.7355","-0.55%"
"Feb 27, 2017","1.7471","1.7518","1.7535","1.7418","-0.26%"
"Feb 24, 2017","1.7517","1.7661","1.7690","1.7465","-0.79%"
"Feb 23, 2017","1.7657","1.7590","1.7671","1.7574","0.40%"
"Feb 22, 2017","1.7587","1.7724","1.7757","1.7571","-0.74%"
"Feb 21, 2017","1.7718","1.7664","1.7733","1.7630","0.28%"
"Feb 20, 2017","1.7669","1.7595","1.7704","1.7590","0.32%"
"Feb 17, 2017","1.7613","1.7691","1.7735","1.7542","-0.43%"
"Feb 16, 2017","1.7689","1.7678","1.7773","1.7657","0.05%"
"Feb 15, 2017","1.7680","1.7719","1.7747","1.7640","-0.22%"
"Feb 14, 2017","1.7719","1.7842","1.7855","1.7645","-0.67%"
"Feb 13, 2017","1.7838","1.7767","1.7851","1.7716","0.42%"
"Feb 10, 2017","1.7763","1.7757","1.7813","1.7683","0.06%"
"Feb 09, 2017","1.7753","1.7764","1.7819","1.7705","-0.07%"
"Feb 08, 2017","1.7765","1.7743","1.7778","1.7685","0.15%"
"Feb 07, 2017","1.7739","1.7553","1.7756","1.7506","1.01%"
"Feb 06, 2017","1.7561","1.7581","1.7622","1.7534","-0.09%"
"Feb 03, 2017","1.7576","1.7676","1.7736","1.7529","-0.57%"
"Feb 02, 2017","1.7677","1.7891","1.7919","1.7653","-1.15%"
"Feb 01, 2017","1.7882","1.7744","1.7924","1.7714","0.82%"
"Jan 31, 2017","1.7736","1.7738","1.7784","1.7600","-0.04%"
"Jan 30, 2017","1.7743","1.7970","1.8014","1.7710","-1.29%"
"Jan 27, 2017","1.7975","1.7973","1.8001","1.7870","0.04%"
"Jan 26, 2017","1.7967","1.7859","1.7988","1.7832","0.63%"
"Jan 25, 2017","1.7854","1.7801","1.7913","1.7744","0.33%"
"Jan 24, 2017","1.7796","1.7763","1.7799","1.7611","0.14%"
"Jan 23, 2017","1.7772","1.7630","1.7786","1.7577","0.75%"
